,Lunch_1,Cal_lunch_1,Lunch_2,Cal_lunch_2,Dinner_1,Cal_dinner_1,Dinner_2,Cal_dinner_2
2023-06-19,"오삼야채덮밥
메밀전병
김치",860,"수육정식
콩나물국
쌈야채*쌈장
파절이무침
김치",850,"가츠동
단무지
요구르트",820,"얼갈이된장국
고추장오리불고기
연근조림
숙주나물
깍두기
아이스홍시",780
2023-06-20,"치킨하이라이스
생선까스*타르소스
깍두기",880,"냉모밀
새우튀김
단호박샐러드
단무지
망고주스",820,"부대찌개
탕수만두
도시락김",860,"부추계란탕
짜장불고기
탕수만두
상추겉절이
깍두기
요플레",680
2023-06-21,"돼지고기김치찌개
어묵볶음
건파래볶음",780,"순두부백탕
마라샹궈
꿔바로우탕수육
오이생채
단무지",800,"소고기우거지탕
갈비산거조림
깍두기",880,"오이미역냉국
가자미구이
갈비산적조림
미역줄기볶음
깍두기
바나나",820
2023-06-22,"닭갈비야채덮밥
고구마맛탕
깍두기",860,"홍합미역국
고등어구이
족발겨자냉채
들기름막국수
김치
맛탕",680,"치즈등심돈까스
옥수수스프
야채샐러드
단무지",780,"김치콩나물국
간장찜닭
핫도그*케찹
감자샐러드
도시락김
깍두기",760
2023-06-23,"제육김치덮밥
핫도그*케찹
단무지",840,"크림파스타
치킨샐러드*허니머스타드
마늘바게트
피클
망고주스",860,"카레라이스
타코야끼
단무지",735,"우거지된장국
소고기버섯야채볶음
타코야끼
해초샐러드
김치
요구르트",790
2023-06-26,"치킨스테이크
통살새우가스*타르소스
야채샐러드
단무지
가쓰오국",860,"들깨미역국
닭갈비야채볶음
해물볶음우동
명엽채견과류조림
야채샐러드
김치",850,"부대김치덮밥
숙주나물무침
단무지
요구르트",820,"짬뽕수제비
꿔바로우탕수육
숙주나물
짜사이무침
감자샐러드
파인애플",780
2023-06-27,"필라프
닭다리오븐구이
단무지
오렌지주스",880,"물냉면
따닥불고기
찐만두
무초절이
바나나",820,"사천짜장덮밥
만두탕수
파인애플
단무지",860,"불고기노각열무비빔밥
두부감자된장국
새우튀김*타르소스
맛김치
요구르트",680
2023-06-28,"돼지고기김치찌개
스크램블에그
도시락김",780,"꼬치어묵탕
순대야채볶음
떡볶이
콩나물무침
도시락김
김치",800,"가라아게동
단무지
쥬시쿨",880,"순두부찌개
갈치무조림
돈육깻잎튀김
깻잎지
열무김치
과즙음료",820
2023-06-29,"마파두부덮밥
고로케*케찹
부추계란탕
단무지",860,"부추계란탕
데리야끼파닭
고로케*케찹
비트무초절이
김치
요구르트",680,"닭갈비야채덮밥
핫도그*케찹
단무지",780,"소고기무국
제육김치볶음
산적떡조림
찜두부
도라지오이생채
열무김치",760
2023-06-30,"치즈등심돈까스
양송이스프
양상추샐러드
단무지",840,"청양초콩나물국
훈제오리볶음*쌈무
연근조림
상추겉절이
단호박팥버무리
김치",860,"소고기장터국밥
조랭이햄볶음
도시락김
깍두기",735,"배추된장국
오삼야채볶음
연두부양념장
시금치나물
건파래볶음
깍두기",790
2023-07-03,"돈육김치덮밥
핫도그*케찹
단무지",860,"떡국
닭볶음탕
핫도그*케찹
상추겉절이
콩자반
김치",850,"함박스테이크
생선까스*타르소스
야채샐러드
파인애플
단무지",820,"꼬치어묵탕
순대야채볶음
생선까스*타르소스
오이생채
김치
파인애플",780
2023-07-04,"치킨데리야채덮밥
고구마맛탕
김치",880,"콩나물김치국
고등어무조림
돈육깻잎튀김
건파래볶음
고구마맛탕
깍두기",820,"가라아게동
쥬시쿨
깍두기",860,"얼갈이된장국
김치제육볶음
온두부
치커리생채
명엽채조림
깍두기",680
2023-07-05,"카레라이스
단호박샐러드
깍두기",780,"브로콜리단호박카레라이스
양송이찹스테이크
계란탕
단호박샐러드
깍두기
요구르트",800,"파스타
마늘빵
피클",880,"들깨미역국
대패숙주볶음
해파린애채
청포묵김가루무침
콩나물무침
김치",820
2023-07-06,"돼지고기김치찌개
도시락김
스크램블에그",860,"다시마감자국
간장제육볶음
스크램블에그
도시락김
김치
황도",680,"사천짜장덮밥
만두탕수
단무지",780,"부추계란탕
짜장야채덮밥
고추잡채*꽃빵
꿔바로우탕수육
깍두기
망고푸딩젤리",760
2023-07-07,"등심돈까스
옥수수스프
야채샐러드
단무지",840,"(뚝)육개장
가자미무조림
야채샐러드
청경채나물
김치",860,"황태콩나물국
미트볼케찹조림
깍두기",735,"소고기미역국
간장찜닭
미트볼케찹조림
숙주나물무침
도시락김
깍두기",790
2023-07-10,"부대찌개
계란찜
도시락김",860,"순두부새우젓국
제육야채볶음
계란찜
비빔국수
도시락김
김치",850,"치즈등심돈까스
야채샐러드
단무지
요구르트",820,"뼈없는감자탕
메밀지짐이
마늘쫑쌈장무침
김치
요구르트",780
2023-07-11,"소고기당면덮밥
고구마맛탕
깍두기",880,"(뚝)반계탕*죽
녹두전
양파초절이
깍두기
수박",820,"돈육김치찌개
어묵볶음
부추겉절이",860,"돈육김치찌개
안동찜닭
어묵볶음
부추겉절이
깍두기
오렌지주스",680
2023-07-12,"닭갈비야채덮밥
감자샐러드
깍두기",780,"들깨미역국
주꾸미삼겹볶음
천사채마요샐러드
납작만두
감자샐러드
깍두기",800,"가츠동
쥬시쿨
단무지",880,"버섯매운탕
간장불고기
브로컬리연근깨무침
얼갈이된장무침
깍두기
쥬시쿨",820
2023-07-13,"돈육김치덮밥
고로케*케찹
단무지",860,"돈육고추장찌개
갈치조림
고로케*케찹
쑥갓두부나물
건파래볶음
깍두기",680,"제육야채덮밥
마카로니샐러드
단무지",780,"소고기무국
돈사태김치찜
온두부
마카로니샐러드
아이스홍시
열무김치",760
2023-07-14,"함박스테이크
생선까스*타르소스
야채샐러드
단무지
파인애플",840,"얼갈이된장국
오리불고기
생선까스*타르소스
콩나물무침
깍두기
파인애플",860,"(뚝)우거지해장국
동그랑땡데리조림
도시락김",735,"(뚝)우거지해장국
동그랑땡데리조림
치킨누들샐러드
오이생채
깍두기",790
2023-07-17,"오므라이스
그릴소시지
요구르트
단무지",860,"오징어무국
안동찜닭
메밀전병
연두부양념장
참나물무침
김치",850,"볶음우동
타코야끼
단무지",820,"우거지된장국
돈육김치볶음
볶음우동
타코야끼
깍두기
황도",780
2023-07-18,"치킨하이라이스
새우튀김*타르소스
깍두기",880,"냉모밀
새우튀김*타르소스
자빌토마토샐러드
단무지
망고주스",820,"육개장
찐만두
깍두기",860,"감자계란탕
깐풍기
해파리냉채
찐만두
깻잎지
김치",680
2023-07-19,"지코바치밥
양념감자튀김
단무지
요구르트",780,"보리밥*고추장
청국장찌개
제육볶음
무생채
콩나물무침
열무김치",800,"소보로덮밥
핫도그*케찹
단무지",880,"순두부계란탕
오삼불고기
핫도그*케찹
숙주부추무침
알타리김치",820
2023-07-20,"바지락순두부찌개
고로케*케찹
도시락김",860,"꼬막비빔밥
두부감자된장국
고로케*케찹
도시락김
김치",680,"가라아게동
단무지
쥬시쿨",780,"소고기무국
가자미카레구이
궁중떡볶음
단호박샐러드
쥬시쿨
김치",760
2023-07-21,"마파두부덮밥
김치부침개
깍두기",840,"(뚝)반계탕*죽
김치부침개
양파포절이
깍두기
바나나",860,"돈육카레라이스
쫄면야채무침
단무지",735,"콩나물국
훈제오리볶음*쌈무
쫄면야채무침
연근조림
깍두기
파인애플",790
2023-07-24,"김치말이국수
꽈배기
단무지",730,"소고기떡국
가자미무조림
연두부양념장
진미채조림
깻잎지
김치",830,"등심돈까스
야채샐러드
옥수수스프
단무지",820,"소고기무국
제육볶음
계란찜
양상추샐러드
멸치견과류조림
김치",780
2023-07-25,"가라아게카레덮밥
쫄면야채무침
단무지",880,"(뚝)동태탕
돈육깻잎튀김
호박맛살볶음
연근흑임자샐러드
깍두기",820,"라볶이
모둠튀김
순대
어묵탕",860,"우거지된장국
돼지고기김치찜
느타리버섯볶음
미역초무침
도시락김
김치",680
2023-07-26,"소고기우거지탕
너비아니구이
깍두기",780,"수육정식
콩나물국
쌈야채*쌈장
파절이무침
김치",800,"닭갈비덮밥
콩나물무침
깍두기",880,"어묵우동
고구마돈까스
야채샐러드
김치
요구르트",820
2023-07-27,"함박스테이크
생선까스
야채샐러드
단무지
요구르트",860,"크림파스타
함박스테이크
마늘바게트
피클
요구르트",680,"오삼야채덮밥
만두탕수
깍두기",780,"들깨미역국
소고기버섯볶음
만두탕수
실곤약야채무침
명엽채조림
깍두기",760
2023-07-28,"부대찌개
계란찜
건파래볶음",840,"물만둣국
생선구이
계란찜
건파래볶음
망고푸딩
깍두기",860,"제육야채덮밥
해물경단전
깍두기",735,"육개장
묵은지닭볶음탕
해물경단전
미역줄기볶음
깍두기
파인애플",790
2023-08-14,운영없음,820,운영없음,780,운영없음,0,운영없음,0
2023-08-15,광복절,880,광복절,820,광복절,860,광복절,680
2023-08-16,"오삼야채덮밥
오이생채
무초절이무침",780,"순두부계란탕
제육볶음
치킨누들샐러드
오이생채
양념깻잎지
김치",800,"치킨데리야끼덮밥
실곤약야채무침
깍두기",880,"물만둣국
사천탕수육
실곤약야채무침
연두부양념장
건파래볶음
깍두기",820
2023-08-17,"등심돈까스
요구르트
야채샐러드
단무지",860,"배추된장국
오징어떡볶음
옥수수계란찜
상추부추무침
김치
요구르트",680,"(뚝)북어콩나물국
미트볼케찹조림
김치",780,"(뚝)북어콩나물국
갈치구이
미트볼케찹조림
오이생채
김치",760
2023-08-18,"돈육김치찌개
감자샐러드
도시락김",840,"소고기무국
닭볶음탕
녹두전
감자샐러드
도시락김
깍두기",860,"사천짜장덮밥
만두탕수
단무지",735,"쑥갓어묵탕
소고기당면볶음
만두탕수
참나물참깨소스무침
오징어젓
깍두기",790
2023-08-21,"닭갈비야채덮밥
고구마맛탕
깍두기",820,"들깨미역국
족발겨자냉채
들기름막국수
김치
고구마맛탕",780,"사천짜장덮밥
후르츠탕수육
단무지",860,"사천짜장덮밥
명란군만두
해파리냉채
단무지
계란국
파인애플",880
2023-08-22,"등심돈까스
야채샐러드
단무지
망고주스",880,"냉모밀
새우튀김*타르소스
바질토마토샐러드
단무지
망고주스",820,"부대찌개
연근조림
도시락김",860,"얼갈이된장국
고추장오리불고기
연근조림
숙주나물
깍두기
아이스홍시",680
2023-08-23,"카레필라프
닭다리오븐구이
단무지
오렌지주스",780,"배추된장국
돈육김치볶음
온두부
푸실리샐러드
김치
오렌지주스",800,"마파두부덮밥
닭강정
단무지",880,"순두부찌개
닭강정
마파두부
우엉조림
도시락김
깍두기",820
2023-08-24,"치킨하이라이스
생선까스*타르소스
단무지",860,"콩나물국
주꾸미삼겹볶음
생선까스*타르소스
천사채무침
깻잎지무침
깍두기",680,"함박스테이크
통살새우가스*타르소스
야채샐러드
단무지
요구르트",780,"순두부계란탕
통살새우가스*타르소스
해물볶음우동
브로콜리참깨무침
김치
요구르트",760
2023-08-25,"돼지고기김치찌개
어묵볶음
오이생채",840,"순두부백탕
마라샹궈
꿔바로우탕수육
오이생채
단무지",860,"토마토파스타
마늘빵
피클",735,"어묵탕
제육볶음
연두부양념장
도토리묵야채무침
멸치견과류조림
김치",790
2023-08-28,"돈육김치덮밥
만두탕수
단무지",820,"(뚝)육개장
고기산적조림
부추호박전
김치
요플레",780,"소고기국밥
해물경단굴소스조림
도시락김",860,"얼큰콩나물국
짜장불고기
해물경단굴소스조림
미역오이초무침
도시락김
깍두기",880
2023-08-29,"가츠동
요구르트
단무지",880,"돼지고기고추장찌개
찜닭
비빔국수
청포묵김가루무침
무말랭이무침
김치",820,"오삼야채덮밥
미소국
마카로니샐러드
깍두기",860,"배추된장국
훈제오리볶음
진미채조림
마카로니샐러드
깍두기
요구르트",680
2023-08-30,"카레라이스
후리가케튀김
깍두기",780,"오징어숙회물회
밥*소면
닭강정
김치
옥수수",800,"제육야채덮밥
사각어묵볶음
단무지",880,"돼지고기김치찌개
꽁치구이
사각어묵볶음
숙주나물무침
오징어젓
깍두기",820
2023-08-31,"등심돈까스
옥수수스프
야채샐러드
단무지",860,"소고기무국
가자미양념구이
잡채
단호박샐러드
양념깻잎지
열무김치",680,"치킨데리야채덮밥
고로케*케찹
단무지",780,"감자수제비
순대야채볶음
고로케*케찹
천사채마요샐러드
김치
오렌지주스",760
2023-09-01,"소고기야채덮밥
콩나물무침
미소국
김치",840,"김치깍두기볶음밥*계란후라이
크루통옥수수스프
함박스테이크*파인애플
야채샐러드
단무지/피클",860,"해물순두부찌개
찐만두
미역줄기볶음",735,"우거지된장국
대패숙주볶음
스크램블에그
미역줄기볶음
고추지
김치",790
2023-09-04,"가라아게카레덮밥
인절미토스트
깍두기",860,"얼갈이된장국
고추장오리불고기
어묵계란전
숙주나물
깍두기
아이스홍시",850,"볶음우동
타코야끼
단무지
파인애플",820,"(뚝)순대국
부추생채
마늘쫑고추쌈장무침
깍두기
파인애플",780
2023-09-05,"파스타
마늘빵
피클",880,"[치콜데이]
순살치킨
감자튀김
떡볶이
비트무초절이
샐러드*케요네즈
콜라",820,"소고기우거지탕
너비아니구이
깍두기",860,"꼬치어묵국
훈제오리볶음
명엽채조림
연근흑임자샐러드
숙주나물
깍두기",680
2023-09-06,"마파두부덮밥
야채고로케*케찹
단무지",780,"수육
콩나물국
쌈야채*쌈장
파절이무침
김치",800,"닭갈비야채덮밥
마카로니샐러드
단무지",880,"배추된장국
해물콩나물찜
두부구이양념장
도시락김
김치
마카로니샐러드",820
2023-09-07,"제육야채덮밥
새우튀김*타르소스
깍두기",860,"계란감자탕
찹스테이크
새우튀김
청경채무침
깍두기",680,"치킨스테이크
통살새우까스
야채샐러드
단무지
오렌지주스",780,"돈육김치찌개
조기구이
계란찜
우엉조림
깍두기
오렌지주스",760
2023-09-08,"등심돈까스
야채샐러드
단무지
요구르트",840,"시래기밥*양념장
청국장찌개
제육볶음
부추생채
깍두기
요구르트",860,"육개장
비엔나케찹볶음
구이김",735,"부추계란탕
유린기
메추리알조림
느타리버섯무침
구이김
김치",790
2023-09-11,"지코바치밥
양념감자튀김
단무지",820,"소고기무국
주꾸미삼겹볶음
가지볶음
천사채해초무침
부추겉절이
깍두기",780,"오므라이스
그릴소시지
단무지
요구르트",860,"콩나물국
소고기버섯볶음
그릴소시지
오이생채
김치
황도",880
2023-09-12,"치킨데리야끼덮밥
고로케*케찹
깍두기",880,"산채비빔밥*계란후라이
배추된장국
제육볶음
김치
파인애플",820,"돼지고기김치찌개
갈비산적데리조림
숙주나물",860,"얼큰홍합탕
깐풍기
갈비산적데리조림
해파리냉채
단호박샐러드
깍두기",680
2023-09-13,"치즈등심돈까스
옥수수스프
야채샐러드
단무지",780,"감자다시마국
고등어무조림
미트볼라따뚜이
숙주무침
찐순대
깍두기",800,"제육야채덮밥
핫도그*케찹
단무지",880,"꼬치어묵탕
오삼두루치기
핫도그*케찹
연두부양념장
상추겉절이
김치",820
2023-09-14,"사천짜장덮밥
꿔바로우탕수육
단무지",860,"꼬막비빔밥
두부감자된장국
감자샐러드
김치
오렌지주스",680,"함박스테이크
생선까스*타르소스
야채샐러드
단무지
과즙음료",780,"얼갈이된장국
김치제육볶음
생선까스*타르소스
건파래볶음
깍두기
과즙음료",760
2023-09-15,"스팸김치덮밥
마카로니샐러드
요구르트",840,"떡국
오삼야채볶음
연근조림
마카로니샐러드
깍두기
요구르트",860,"(뚝)우거지해장국
도토리묵야채무침
깍두기",735,"잡곡밥
(뚝)우거지해장국
가자미구이
김치전
도토리묵야채무침
깍두기",790
2023-09-18,"필라프
닭다리장각구이
요구르트
단무지",820,"미역국
오리불고기
감자샐러드
오이생채
비트무초절이
요구르트",780,"소고기당면덮밥
야채고로케*케찹
깍두기",860,"돈육김치찌개
갈치구이
야채고로케*케찹
연두부양념장
콩나물무침
깎두기",880
2023-09-19,"등심돈까스
옥수수스프
야채샐러드
단무지",880,"섞어찌개
고등어조림
조랭이햄볶음
건파래볶음
야채샐러드
김치",820,"스팸김치덮밥
핫도그*케찹
단무지",860,"계란감자탕
콩불볶음
핫도그*케찹
볼어묵조림
도시락김
깍두기",680
2023-09-20,"오삼야채덮밥
만두탕수
단무지",780,"감자된장찌개
삼겹숙주볶음
만두탕수
꺳잎지
요플레
김치",800,"육개장
미역줄기볶음
깍두기",880,"류산슬덮밥
미역장국
꿔바로우탕수육
짜사이무침
망고주스",820
2023-09-21,"부대찌개
계란찜
도시락김",860,"콩나물국
제육야채볶음
계란찜
비빔국수
무말랭이
김치",680,"마파두부덮밥
닭강정
단무지",780,"(뚝)소고기영양탕
닭강정
단호박샐러드
연근조림
깍두기",760
2023-09-22,"돈육카레라이스
쫄면야채무침
단무지",840,"버섯매운탕
찜닭
쫄면야채무침
청포묵김가루무침
김치",860,"제육야채덮밥
마카로니샐러드
단무지",735,"소고기무국
돈사태김치찜
온두부
마카로니샐러드
깍두기
바나나",790
2023-09-25,"바지락순두부찌개
고로케*케찹
도시락김",820,"차슈덮밥
게살계란탕
고로케*케찹
단무지
파인애플",780,"가라아게동
단무지
쥬시쿨",860,"소고기무국
가자미조림
궁중떡볶음
해초미역무침
깻잎지
김치",880
2023-09-26,"제육야채덮밥
돈육깻잎튀김
깍두기",880,"계란순두부감자탕
오삼야채볶음
돈육깻잎튀김
청경채무침
김치
요구르트",820,"잡채덮밥
핫도그*케찹
단무지",860,"콩나물국
돈육김치볶음
연두부양념장
진미채조림
콩자반
깍두기",680
2023-09-27,"사천짜장면
후르츠탕수육
단무지",780,"우거지된장국
훈제오리볶음
갈비산적조림
푸실리오리엔탈샐러드
오이생채
깍두기",800,추석연휴,880,추석연휴,820
2023-09-28,추석연휴,860,추석연휴,680,추석연휴,780,추석연휴,760
2023-09-29,추석연휴,840,추석연휴,860,추석연휴,735,추석연휴,790
2023-10-02,임시공휴일,820,임시공휴일,780,임시공휴일,860,임시공휴일,880
2023-10-03,개천절,880,개천절,820,개천절,860,개천절,680
2023-10-04,"치킨하이라이스
생선까스*타르소스
깍두기",780,"소고기미역국
제육야채볶음
생선까스*타르소스
무말랭이지
오이무침
김치",800,"스파이시치킨스테이크
통살새우까스
야채샐러드
요구르트
단무지",880,"(뚝)북어계란탕
통살새우까스
메밀전병
얼갈이된장무침
깍두기",820
2023-10-05,"치즈등심돈까스
요구르트
야채샐러드
단무지",860,"쑥갓어묵탕
오삼야채볶음
우엉조림
숙주나물
김치
파인애플",680,"닭갈비야채덮밥
고구마맛탕
깍두기",780,"돈육김치찌개
삼치데리야끼구이
다시마초회
깻잎지
고구마맛탕
깍두기",760
2023-10-06,"제육김치덮밥
미역줄기볶음
단무지",840,"물만둣국
가자미유린기
갈비산적조림
미역줄기복음
오이생채
깍두기",860,"볶음우동
타코야끼
단무지
쥬시쿨",735,"우거지된장국
소고기버섯야채볶음
타코야끼
미나리초무침
요구르트
김치",790
2023-10-09,한글날,820,한글날,780,한글날,860,한글날,880
2023-10-10,"짜장야채덮밥
만두탕수
단무지
부추계란탕",880,"부추계란탕
소불고기당면볶음
만두탕수
콩나물무침
도시락김
깍두기",820,"마파두부덮밥
닭강정
단무지",860,"근대된장국
데리야끼파닭
메추리알떡볶이
청경채나물무침
무말랭이
김치",680
2023-10-11,"제육김치덮밥
고기산적조림
단무지",780,"보리밥*양념장
두부감자된장국
고기산적조림
콩나물무침
무생채
호박새우젓볶음
열무김치",800,"소고기우거지탕
볼어묵조림
깍두기",880,"소고기무국
닭갈비야채볶음
볼어묵조림
치커리상추무침
깍두기
요구르트",820
2023-10-12,"치즈돈까스
야채샐러드
단무지
요구르트",860,"(뚝)육개장
동태전
족발겨자무침
멸치견과류조림
깍두기",680,"가라아게동
단무지
망고주스",780,"다시마감자국
가자미구이
미츠볼케찹조림
부추양파무침
건파래볶음
김치",760
2023-10-13,"오삼야채덮밥
오이생채무침
단무지",840,"홍합미역국
찜닭
김치전
오이생채무침
오징어젓갈
깍두기",860,"돼지고기김치찌개
미역줄기볶음
도시락김",735,"버섯매운탕
대패삼겹숙주볶음
두부계란전
미역줄기볶음
김치
오렌지주스",790
2023-10-16,"[개교기념일특식]
토마토파스타
함박스테이크*계란후라이
크림스프
마늘빵
야채샐러드
피클/단무지",960,,780,"김밥볶음밥
떡볶이*만두
얼큰어묵국
단무지",860,"어묵우동
고구마돈까스
야채샐러드
단무지
과즙음료",880
2023-10-17,개교기념일,880,개교기념일,820,개교기념일,860,개교기념일,680
2023-10-18,"등심돈까스
요구르트
야채샐러드
단무지",780,"아욱된장국
찜닭
비빔야채국수
청포묵야채무침
알타리김치
요구르트",800,"제육야채덮밥
고구마맛탕
단무지",880,"계란감자탕
오징어야채볶음
돈육깻잎전
참나물무침
맛탕
김치",820
2023-10-19,"닭갈비야채덮밥
만두탕수
단무지",860,"짜장라이스
청경채맛살계란탕
만두탕수
부추잡채*꽃빵
짜사이무침
파인애플",680,"돈육김치찌개
사각어묵볶음
도시락김",780,"쇠고기미역국
제육볶음
두부계란전
사각어묵볶음
숙주무침
깍두기",760
2023-10-20,"돈육김치덮밥
콩나물무침
깍두기",840,"영양반계탕
부추생채
양파초절이
양념깻잎지
깍두기",860,"함박스테이크
생선까스
야채샐러드
단무지
과즙음료",735,"돈육고추장찌개
가자미카레구이
메추리알조림
해초샐러드
무말랭이지
김치",790
2023-10-23,"오므라이스
그릴소시지
단무지
요구르트",960,"순두부계란탕
오삼야채볶음
우엉채조림
양념깻잎지
깍두기
요구르트",780,"가츠동
단무지
쥬시쿨",860,"버섯매운탕
찜닭
쫄면야채무침
청포묵김가루무침
김치
쥬시쿨",880
2023-10-24,"부대찌개
조랭이어묵볶음
건파래볶음",880,"섞어찌개
고등어조림
조랭이어묵볶음
건파래볶음
단호박샐러드
김치",820,"소고기당면덮밥
만두탕수
단무지",860,"돈육김치찌개
갈치구이
만두탕수
연두부양념장
명엽채조림
깍두기",680
2023-10-25,"지코바치밥
양념감자튀김
단무지",780,"부추계란탕
오리불고기
무나물
오이생채
깍두기
망고푸딩젤리",800,"스팸김치덮밥
핫도그*케찹
단무지",880,"계란감자탕
콩불볶음
핫도그*케찹
브로콜리버섯볶음
깻잎지
깍두기",820
2023-10-26,"육개장칼국수
찐만두
단무지",860,"소고기미역국
간장불고기볶음
비빔야채만두
숙주나물
김치
요플레",680,"참치김치찌개
생선까스*타르소스
도시락김",780,"다시마감자국
순대야채볶음
어묵볶음
연근샐러드
도시락김
김치",760
2023-10-27,"치킨데리야끼덮밥
고로케*케찹
단무지",840,"소고기무국
주꾸미삼겹볶음
가지볶음
천사채해초무침
부추겉절이
깍두기",860,"카레라이스
소세지칠리볶음
깍두기",735,"우거지된장국
삼치데리야끼구이
소세지칠리볶음
브로콜리다시마초회
깍두기
오렌지주스",790
2023-10-30,"제육야채덮밥
고구마맛탕
단무지",960,"나가사끼짬뽕
양장피냉채
단무지
파인애플",780,"잡채덮밥
만두탕수
깍두기",860,"(뚝)돈등뼈감자탕
메밀전병
마늘쫑쌈장무침
오이생채
김치",880
2023-10-31,"오삼야채덮밥
마카로니샐러드
단무지",880,"꼬치어묵탕
훈제오리볶음
연근조림
명엽채볶음
숙주나물무침
김치",820,"함박스테이크
생선까스
야채샐러드
단무지
요구루트",860,"소고기무국
제육볶음
두부조림
치커리생채
도시락김
김치",680
2023-11-01,"등심돈까스
크림스프
야채샐러드
단무지",780,"조갯살미역국
찜닭
호박채전
브로콜리연근깨무침
오징어젓갈
김치",800,"소불고기야채덮밥
핫도그*케찹
단무지",880,"계란탕
깐풍기
부추잡채
해파리냉채
오렌지주스
깍두기",820
2023-11-02,"파스타
마늘빵
피클",860,"콩나물국
조기구이
동그랑땡굴소스조림
느타리버섯무침
무말랭이무침
김치",680,"육개장
볼어묵조림
깍두기",780,"오징어야채덮밥
감자다시마국
볼어묵조림
꽃맛살샐러드
깍두기",760
2023-11-03,"돼지고기김치찌개
콩나물무침
구이김",840,"소고기무국
콩나물제육볶음
해물경단전
진미채고추장무침
깻잎지
깍두기",860,"카레라이스
감자샐러드
깍두기",735,"배추된장국
갈치구이
미트볼떡조림
쫄면야채무침
감자샐러드
깍두기",790
2023-11-06,"돈육김치덮밥
고로케*케찹
단무지",960,"물만둣국
깐풍기
잡채
유부겨자무침
도시락김
깍두기",780,"비빔면
파채무침
대패삼겹살
단무지",860,"부대찌개
간장찜닭
우거지된장지짐
멸치견과류조림
미역줄기볶음
깍두기",880
2023-11-07,"치즈등심돈까스
요구르트
야채샐러드
단무지",880,"꼬치어묵탕
제육야채볶음
우엉조림
얼갈이된장무침
알타리
요구르트",820,"제육야채덮밥
만두탕수
단무지",860,"사천짜장덮밥
계란탕
만두탕수
해파리냉채
짜사이무침",680
2023-11-08,"마파두부덮밥
닭강정
깍두기",780,"콩나물밥*양념장
청국장찌개
두부김치
오징어브로콜리숙회
깍두기
파인애플",800,"치킨데리야끼덮밥
핫도그*케찹
단무지",880,"(뚝)소고기우거지탕
가자미구이
감자조림
도토리묵야채무침
김치",820
2023-11-09,"가라아게카레덮밥
인절미모닝빵
깍두기",860,"(뚝)북어국
사채김치볶음
가지무침
깍두기
인절미모닝빵",680,"해물볶음우동
타코야끼
단무지
요구르트",780,"얼갈이된장국
돈육김치볶음
숙주나물
타코야끼
도라지오이무침
알타리",760
2023-11-10,"유부잔치국수
메밀전병
단무지",840,"소고기무국
주꾸미삼겹콩나물볶음
메밀전병
천사채마요무침
깍두기
오렌지주스",860,"순두부찌개
비엔나케찹조림
구이김",735,"들깨미역국
유린기
비엔나케찹조림
느타리버섯무침
구이김
김치",790
